SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"RADICO","4,107.50","4,165.00","4,088.00","4,097.90","4,134.00","-","36.1","0.88","159282","65.81","4,165.00","2,500.00","9.68","52.08"
"HDFCAMC","2,655.40","2,659.00","2,603.00","2,651.20","2,620.20","-","-31","-1.17","251127","65.80","2,967.25","2,205.60","-3.63","-6.25"
"SUNPHARMA","1,942.00","1,954.20","1,935.00","1,932.60","1,944.80","-","12.2","0.63","337198","65.55","1,962.70","1,548.00","5.8","14.84"
"COALINDIA","428.15","433.50","428.15","427.65","431.45","-","3.8","0.89","1515643","65.45","491.25","368.65","-4.39","11.07"
"WIPRO","177.00","177.80","175.85","176.00","176.62","-","0.62","0.35","3690487","65.11","273.10","169.00","-2.32","-33.85"
"SPLPETRO","693.90","744.00","685.00","693.90","718.50","-","24.6","3.55","898427","65.08","979.00","462.30","-4.11","-12.03"
"DLF","665.00","666.00","654.15","667.80","657.00","-","-10.8","-1.62","986721","64.95","856.45","489.40","5.16","-22.3"
"DIVISLAB","7,260.00","7,358.00","7,237.50","7,247.50","7,351.00","-","103.5","1.43","87512","64.08","7,390.00","5,636.50","9.02","9.2"
"LAURUSLABS","1,534.90","1,552.30","1,527.20","1,529.80","1,549.20","-","19.4","1.27","415586","63.93","1,579.10","810.05","9.48","87.04"
"TATATECH","764.70","775.00","736.50","758.05","740.95","-","-17.1","-2.26","836186","62.78","784.00","507.40","-0.22","3.95"
"IFCI","72.00","73.60","71.70","72.17","72.30","-","0.13","0.18","8400398","61.15","95.80","46.23","-15.72","18.09"
"CUMMINSIND","5,438.00","5,531.50","5,397.00","5,448.00","5,506.50","-","58.5","1.07","111318","61.09","6,100.00","3,481.50","-6.12","55.71"
"JYOTICNC","775.00","814.00","770.65","781.50","805.50","-","24","3.07","759731","61.07","1,084.00","580.10","9.07","-21.14"
"ASHOKLEY","154.46","154.50","152.83","155.23","154.14","-","-1.09","-0.7","3971373","61.01","215.42","114.96","-1.63","26.05"
"OLAELEC","39.97","40.19","39.37","40.17","39.62","-","-0.55","-1.37","15262728","60.73","71.25","22.25","-6.25","-4.12"
"IDBI","87.02","87.61","85.50","87.02","85.82","-","-1.2","-1.38","6988930","60.27","118.38","61.01","3.48","-12.88"
"WOCKPHARMA","1,902.90","1,928.50","1,882.00","1,900.70","1,896.00","-","-4.7","-0.25","304526","58.10","2,422.30","1,086.70","-5.77","6.83"
"MUTHOOTFIN","2,995.00","3,019.90","2,973.30","2,989.50","2,982.80","-","-6.7","-0.22","192990","57.86","4,149.50","2,476.60","-4.57","12.15"
"TVSMOTOR","3,619.80","3,619.80","3,560.70","3,618.20","3,583.80","-","-34.4","-0.95","158402","56.76","3,970.00","2,728.70","4.11","25.8"
"CIPLA","1,425.70","1,445.00","1,419.50","1,418.70","1,441.40","-","22.7","1.6","394339","56.75","1,673.00","1,165.70","6.64","-2.75"
"BANKINDIA","143.00","146.25","142.66","143.17","144.80","-","1.63","1.14","3920397","56.74","178.36","108.81","-1.19","25.92"
"ANTHEM","777.00","807.25","777.00","777.00","799.85","-","22.85","2.94","709352","56.48","873.50","579.15","1.12","0"
