SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"JUBLPHARMA","1,022.60","1,024.05","1,010.05","1,022.60","1,014.55","-","-8.05","-0.79","30235","3.07","1,248.00","786.05","4.99","-17.65"
"FACT","838.00","838.35","825.55","833.60","830.20","-","-3.4","-0.41","36764","3.05","1,058.60","652.10","-6.22","-13"
"HEXT","570.20","574.30","562.05","570.20","562.65","-","-7.55","-1.32","53522","3.04","882.05","400.20","12.7","-34.67"
"DOMS","2,250.00","2,288.70","2,250.00","2,265.50","2,270.80","-","5.3","0.23","12916","2.93","2,770.00","2,023.90","-0.27","-4.6"
"TTML","41.25","41.25","39.02","40.28","40.38","-","0.1","0.25","707185","2.86","65.55","31.22","-8.64","-35.48"
"CHALET","864.80","864.80","848.00","862.60","855.00","-","-7.6","-0.88","33317","2.84","1,082.00","691.35","6.56","-8.12"
"VTL","636.30","645.45","634.00","636.55","635.15","-","-1.4","-0.22","43984","2.81","688.00","383.70","-3.56","26.49"
"FIRSTCRY","210.80","212.53","210.26","211.57","211.07","-","-0.5","-0.24","131677","2.78","438.70","202.56","-2.17","-43.9"
"EMAMILTD","410.00","415.00","405.35","409.45","412.60","-","3.15","0.77","66797","2.75","634.20","376.40","-0.25","-30.29"
"MEDANTA","1,325.90","1,334.40","1,305.00","1,316.90","1,331.40","-","14.5","1.1","20164","2.67","1,456.50","956.00","5.18","0.92"
"POLYMED","1,670.00","1,680.00","1,663.20","1,680.50","1,679.90","-","-0.6","-0.04","15534","2.60","2,147.60","1,182.00","7.46","-20.07"
"SUNDARMFIN","4,410.00","4,437.50","4,398.90","4,430.80","4,423.70","-","-7.1","-0.16","5697","2.52","5,642.00","4,000.00","-1.12","-14.34"
"HONAUT","39,120.00","39,120.00","38,260.00","38,955.00","38,280.00","-","-675","-1.73","627","2.42","40,900.00","26,220.00","2.26","-5.35"
"LTFOODS","382.95","386.00","381.00","382.95","383.10","-","0.15","0.04","62451","2.39","518.55","333.15","-0.08","-24.01"
"INDGN","507.10","512.90","504.40","510.90","509.25","-","-1.65","-0.32","45857","2.33","596.80","414.00","-4.36","-11.51"
"KPIL","1,303.50","1,309.70","1,296.10","1,310.00","1,300.90","-","-9.1","-0.69","16999","2.22","1,479.60","1,007.10","-6.96","8.8"
"NSLNISP","42.80","43.25","42.65","42.99","43.00","-","0.01","0.02","507718","2.18","53.75","33.01","-8.26","8.94"
"BBTC","1,501.10","1,506.10","1,490.00","1,493.60","1,497.00","-","3.4","0.23","14115","2.11","2,135.00","1,314.60","-2.64","-25.32"
"DEVYANI","111.40","111.71","110.35","112.00","110.77","-","-1.23","-1.1","181562","2.01","191.00","91.55","-5.23","-37.1"
"MINDACORP","675.00","680.95","672.80","678.30","674.50","-","-3.8","-0.56","28706","1.94","713.65","445.05","3.3","27.35"
"PFIZER","4,545.00","4,590.00","4,545.00","4,566.90","4,565.80","-","-1.1","-0.02","4244","1.94","5,873.50","4,360.10","0.68","-14.19"
"AAVAS","1,477.00","1,515.00","1,476.90","1,481.40","1,510.80","-","29.4","1.98","12120","1.81","1,960.70","1,060.40","2.79","-20.53"
"ERIS","1,455.40","1,460.00","1,432.10","1,455.40","1,450.50","-","-4.9","-0.34","12241","1.77","1,885.00","1,200.00","0.11","-17.74"
"CANHLIFE","149.00","150.72","148.76","149.74","150.10","-","0.36","0.24","115087","1.72","159.00","106.00","6.18","0"
"SBFC","94.00","94.25","92.89","94.09","93.37","-","-0.72","-0.77","183611","1.71","123.00","79.60","-2.13","-19.22"
"RAINBOW","1,493.40","1,499.00","1,475.00","1,493.40","1,484.50","-","-8.9","-0.6","11383","1.69","1,645.70","1,084.00","0.93","-2.75"
"EIHOTEL","339.70","342.00","335.00","338.75","340.10","-","1.35","0.4","49845","1.69","434.80","271.15","5.67","-10.62"
"RAMCOCEM","920.00","924.90","913.15","919.80","922.70","-","2.9","0.32","15622","1.44","1,214.50","838.30","4.01","-20.25"
"TEGA","1,620.00","1,627.60","1,603.10","1,622.20","1,612.80","-","-9.4","-0.58","8841","1.43","2,125.00","1,522.20","-10.09","-16.73"
"BIKAJI","635.05","647.60","635.05","638.40","646.30","-","7.9","1.24","21826","1.41","818.70","592.55","-2.11","-14.52"
"TIMKEN","3,145.00","3,168.20","3,138.00","3,142.20","3,138.00","-","-4.2","-0.13","4090","1.29","3,925.00","2,800.50","-14.9","-8.87"
"ABLBL","94.23","95.39","94.22","94.88","94.91","-","0.03","0.03","124654","1.18","155.80","87.91","-2.37","-38.76"
"BLUEDART","4,926.40","4,943.80","4,870.00","4,926.40","4,905.80","-","-20.6","-0.42","2328","1.14","7,036.00","4,628.50","-1.27","-28.45"
"SAPPHIRE","182.20","183.94","179.80","182.08","181.60","-","-0.48","-0.26","62200","1.12","368.00","139.91","-3.31","-46.9"
"JSWDULUX","3,046.20","3,046.20","2,990.80","3,034.10","3,023.30","-","-10.8","-0.36","3557","1.07","3,915.50","2,658.70","-8.16","-16.77"
"NIVABUPA","86.06","86.39","85.66","86.06","86.03","-","-0.03","-0.03","120692","1.04","92.90","67.50","-0.97","-3.65"
"ASAHIINDIA","882.10","888.70","874.05","881.20","881.55","-","0.35","0.04","8951","0.79","1,074.00","775.10","4.16","4.7"
"DCMSHRIRAM","1,027.00","1,030.80","1,015.70","1,022.90","1,028.60","-","5.7","0.56","7050","0.72","1,502.30","945.10","-2.38","-26.96"
"TRAVELFOOD","1,293.50","1,316.80","1,281.30","1,293.60","1,300.40","-","6.8","0.53","4867","0.63","1,445.00","1,008.50","-3.91","14.03"
